date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,5DaySMA,20DaySMA
2023-07-24,901.59,905.44,894.23,900.8,1999382,896.624167894,900.4529626304,889.3047057485,895.8385191039,1999382,0.0,1.0,0.0,0.0
2023-07-25,917.99,923.18,900.62,900.62,2004161,912.9338389789,918.095253182,895.6595105188,895.6595105188,2004161,0.0,1.0,0.0,0.0
2023-07-26,893.09,910.62,887.65,909.0,1987667,888.1709847097,905.6044319121,882.7609474718,903.9933546464,1987667,0.0,1.0,0.0,0.0
2023-07-27,893.53,909.85,886.0,908.5,2192178,888.608561251,904.8386729648,881.1200354419,903.4961085767,2192178,0.0,1.0,0.0,0.0
2023-07-28,899.79,903.56,893.95,899.32,1879426,894.8340820432,898.5833174084,889.0262479495,894.3666707377,1879426,0.0,1.0,901.198,0.0
2023-07-31,898.65,901.0,891.0,897.5,1496692,893.7003610043,896.0374175318,886.0924961385,892.5566950441,1496692,0.0,1.0,900.61,0.0
2023-08-01,920.0,920.62,897.7008,898.98,1970675,914.9327681789,915.5493533053,892.7563890657,894.0285434103,1970675,0.0,1.0,901.0120000000001,0.0
2023-08-02,892.3,913.0,890.29,912.3,2688957,887.3853359196,907.9713232037,885.3864067196,907.2751787061,2688957,0.0,1.0,900.8539999999999,0.0
2023-08-03,884.98,895.33,881.08,886.62,1829264,880.1056534598,890.3986471018,876.2271341164,881.7366205683,1829264,0.0,1.0,899.144,0.0
2023-08-04,881.65,893.62,873.3715,884.98,2115785,876.7939946358,888.6980655435,868.5610914604,880.1056534598,2115785,0.0,1.0,895.516,0.0
2023-08-07,897.06,897.37,885.266,887.68,1114565,892.1191185028,892.427411066,880.3900782116,882.790782236,1114565,0.0,1.0,895.198,0.0
2023-08-08,883.16,890.6,873.4,890.09,1408091,878.2956777662,885.6946992828,868.5894344864,885.1875082917,1408091,0.0,1.0,887.8299999999999,0.0
2023-08-09,850.73,883.53,848.7201,882.72,2467248,846.0442976879,878.6636398578,844.0454679371,877.8581012249,2467248,0.0,1.0,879.516,0.0
2023-08-10,842.9,861.5,837.07,853.12,2018613,838.257424237,856.7549780284,832.4595350647,848.4211339009,2018613,0.0,1.0,871.1,0.0
2023-08-11,829.76,836.4,823.48,834.01,2033126,825.1897975263,831.7932253314,818.9443868913,829.4163891184,2033126,0.0,1.0,860.7220000000001,0.0
2023-08-14,854.1,854.18,827.38,831.13,1768800,849.3957361974,849.4752955686,822.8229062347,826.5522517571,1768800,0.0,1.0,852.1299999999999,0.0
2023-08-15,842.52,854.62,836.46,849.21,1403635,837.879517224,849.9128721099,831.8528948597,844.5326696361,1403635,0.0,1.0,844.0020000000001,0.0
2023-08-16,832.99,854.5,831.96,847.79,1600301,828.4020071363,849.7935330532,827.3776802328,843.1204907983,1600301,0.0,1.0,840.454,0.0
2023-08-17,827.1,839.42,827.01,836.51,1922777,822.5444484356,834.7965915921,822.4549441431,831.9026194667,1922777,0.0,1.0,837.2940000000001,0.0
2023-08-18,825.84,828.17,812.0,820.0,1775869,821.2913883401,823.6085550247,807.5276171318,815.4835542464,1775869,0.0,1.0,836.51,873.4865
2023-08-21,865.14,867.34,831.77,834.06,3001163,860.3749294156,862.5628121221,827.1887267263,829.4661137253,3001163,0.0,1.0,838.7180000000001,871.664
2023-08-22,855.79,874.75,850.88,873.41,1708164,851.0764279129,869.9319988745,846.1934715088,868.5993794078,1708164,0.0,1.0,841.3720000000001,868.5539999999999
2023-08-23,876.58,878.19,850.0,850.77,1969205,871.7519194894,873.3530518338,845.3183184262,846.0840773735,1969205,0.0,1.0,850.0899999999999,867.7284999999999
2023-08-24,854.46,909.855,852.46,902.35,3093431,849.7537533676,904.8436454255,847.7647690889,897.3799819198,3093431,0.0,1.0,855.5620000000001,865.775
2023-08-25,851.82,869.44,837.67,857.02,2418053,847.1282941198,864.6512456147,833.0562303483,852.2996532442,2418053,0.0,1.0,860.758,863.3765
2023-08-28,861.08,864.1299,847.11,856.39,1430596,856.3372913299,859.3703929056,842.4442361435,851.6731231965,1430596,0.0,1.0,859.9460000000001,861.4979999999999
2023-08-29,889.93,892.835,856.4199,858.4,2782239,885.0283895494,887.9173892142,851.7028585114,853.6720523965,2782239,0.0,1.0,866.774,859.9945
2023-08-30,892.28,898.71,879.11,892.39,2323424,887.3654460768,893.7600305327,874.2679846019,887.4748402122,2323424,0.0,1.0,869.914,859.9934999999999
2023-08-31,922.89,923.67,893.77,898.01,5520285,917.8068504616,918.5825543303,888.8472393644,893.0638860352,5520285,0.0,1.0,883.6,861.8889999999999
2023-09-01,872.52,901.87,864.66,901.87,6501716,867.7142814038,896.902625693,859.8975731887,896.902625693,6501716,0.0,1.0,887.74,861.4325000000001
2023-09-05,872.17,883.0,867.0,869.51,2480807,867.366209155,878.1365590239,862.2246847947,864.7208600644,2480807,0.0,1.0,889.958,860.1880000000001
2023-09-06,872.27,877.37,866.74,872.5,2014246,867.465658369,872.5375682795,861.9661168385,867.694391561,2014246,0.0,1.0,886.4259999999998,859.6435000000001
2023-09-07,857.03,861.69,840.52,859.5,2778920,852.3095981656,856.9439315349,835.8905329454,854.7659937498,2778920,0.0,1.0,879.376,859.9585
2023-09-08,857.55,860.83,850.12,855.0,1681900,852.8267340781,856.0886682951,845.4376574829,850.2907791228,1681900,0.0,1.0,866.308,860.691
2023-09-11,859.14,869.0,845.65,868.77,1571039,854.4079765796,864.2136690734,840.9922776201,863.9849358813,1571039,0.0,1.0,863.632,862.1600000000001
2023-09-12,844.52,858.265,841.66,850.24,1668027,839.8685015027,853.5377959577,837.0242539842,845.5569965396,1668027,0.0,1.0,858.1020000000001,861.6809999999999
2023-09-13,852.93,859.11,844.24,847.19,1741263,848.2321803944,854.3781418154,839.5900437037,842.5237955147,1741263,0.0,1.0,854.234,862.2014999999999
2023-09-14,871.64,876.67,855.0,859.03,1964828,866.8391283212,871.841423782,850.2907791228,854.2985824443,1964828,0.0,1.0,857.156,864.134
2023-09-15,851.68,868.16,842.9,868.16,5018958,846.9890652203,863.3782956763,838.257424237,863.3782956763,5018958,0.0,1.0,855.982,865.3629999999999
2023-09-18,850.0,856.33,840.0,842.58,1654086,845.3183184262,851.6134536681,835.3733970329,837.9391867524,1654086,0.0,1.0,854.1540000000001,866.5709999999999
2023-09-19,849.2,851.03,838.5,845.99,1313196,844.5227247147,846.3426453297,833.881658824,841.3304049475,1313196,0.0,1.0,855.0899999999999,865.774
2023-09-20,830.57,849.99,830.35,849.99,1370171,830.57,849.99,830.35,849.99,1370171,4.6,1.0,850.618,864.5130000000001
