date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,5DaySMA,20DaySMA
2022-11-25,75.5,76.05,74.92,75.5,13036881,75.5,76.05,74.92,75.5,13036881,0.0,1.0,0.0,0.0
2022-11-28,75.88,77.417,74.68,74.74,19119393,75.88,77.417,74.68,74.74,19119393,0.0,1.0,0.0,0.0
2022-11-29,79.86,80.89,79.45,80.24,24178076,79.86,80.89,79.45,80.24,24178076,0.0,1.0,0.0,0.0
2022-11-30,87.56,89.625,82.25,82.74,60169613,87.56,89.625,82.25,82.74,60169613,0.0,1.0,0.0,0.0
2022-12-01,85.94,87.6,84.26,84.35,20243018,85.94,87.6,84.26,84.35,20243018,0.0,1.0,80.94800000000001,0.0
2022-12-02,90.06,91.85,86.05,86.05,35042629,90.06,91.85,86.05,86.05,35042629,0.0,1.0,83.86,0.0
2022-12-05,90.52,92.9,89.63,92.9,30929815,90.52,92.9,89.63,92.9,30929815,0.0,1.0,86.788,0.0
2022-12-06,91.45,92.57,89.2,91.88,26675734,91.45,92.57,89.2,91.88,26675734,0.0,1.0,89.106,0.0
2022-12-07,88.33,89.2595,86.62,87.06,19507404,88.33,89.2595,86.62,87.06,19507404,0.0,1.0,89.25999999999999,0.0
2022-12-08,94.17,94.335,91.08,91.97,29241462,94.17,94.335,91.08,91.97,29241462,0.0,1.0,90.90599999999999,0.0
2022-12-09,91.34,93.75,91.225,93.27,15452118,91.34,93.75,91.225,93.27,15452118,0.0,1.0,91.162,0.0
2022-12-12,89.41,90.889,87.75,90.09,15190207,89.41,90.889,87.75,90.09,15190207,0.0,1.0,90.94,0.0
2022-12-13,91.41,94.98,90.3,93.45,21150557,91.41,94.98,90.3,93.45,21150557,0.0,1.0,90.932,0.0
2022-12-14,90.91,91.265,89.5,91.06,15575486,90.91,91.265,89.5,91.06,15575486,0.0,1.0,91.44800000000001,0.0
2022-12-15,86.21,94.08,86.05,93.09,30419400,86.21,94.08,86.05,93.09,30419400,0.0,1.0,89.856,0.0
2022-12-16,86.79,90.57,86.61,88.8,25084555,86.79,90.57,86.61,88.8,25084555,0.0,1.0,88.946,0.0
2022-12-19,87.16,89.78,86.5005,89.75,20737008,87.16,89.78,86.5005,89.75,20737008,0.0,1.0,88.49600000000001,0.0
2022-12-20,85.92,87.2,85.04,85.04,15315427,85.92,87.2,85.04,85.04,15315427,0.0,1.0,87.398,0.0
2022-12-21,87.81,88.3869,85.46,86.01,18212852,87.81,88.3869,85.46,86.01,18212852,0.0,1.0,86.77799999999999,0.0
2022-12-22,87.97,89.69,86.67,89.08,16004787,87.97,89.69,86.67,89.08,16004787,0.0,1.0,87.13,87.21000000000001
2022-12-23,85.65,88.65,85.5201,87.85,17949298,85.65,88.65,85.5201,87.85,17949298,0.0,1.0,86.902,87.7175
2022-12-27,89.86,90.6893,86.21,86.55,22959936,89.86,90.6893,86.21,86.55,22959936,0.0,1.0,87.442,88.4165
2022-12-28,87.2,90.15,86.4647,88.98,16268785,87.2,90.15,86.4647,88.98,16268785,0.0,1.0,87.69800000000001,88.7835
2022-12-29,89.13,89.52,87.06,87.625,12535405,89.13,89.52,87.06,87.625,12535405,0.0,1.0,87.96200000000002,88.862
