date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,5DaySMA,20DaySMA
2023-07-24,121.88,123.35,121.38,121.926,22312220,121.88,123.35,121.38,121.926,22312220,0.0,1.0,0.0,0.0
2023-07-25,122.79,123.69,121.53,121.88,31820846,122.79,123.69,121.53,121.88,31820846,0.0,1.0,0.0,0.0
2023-07-26,129.66,131.37,128.71,130.36,46216895,129.66,131.37,128.71,130.36,46216895,0.0,1.0,0.0,0.0
2023-07-27,129.87,133.6,129.18,131.8,35931612,129.87,133.6,129.18,131.8,35931612,0.0,1.0,0.0,0.0
2023-07-28,133.01,134.07,130.92,130.97,26971011,133.01,134.07,130.92,130.97,26971011,0.0,1.0,127.44200000000001,0.0
2023-07-31,133.11,133.83,132.13,133.01,18381891,133.11,133.83,132.13,133.01,18381891,0.0,1.0,129.68800000000002,0.0
2023-08-01,131.89,132.92,130.75,130.855,22219012,131.89,132.92,130.75,130.855,22219012,0.0,1.0,131.50799999999998,0.0
2023-08-02,128.64,130.42,127.85,129.84,22705778,128.64,130.42,127.85,129.84,22705778,0.0,1.0,131.304,0.0
2023-08-03,128.77,129.77,127.775,128.37,15086132,128.77,129.77,127.775,128.37,15086132,0.0,1.0,131.084,0.0
2023-08-04,128.54,131.93,128.315,129.6,20521852,128.54,131.93,128.315,129.6,20521852,0.0,1.0,130.19,0.0
2023-08-07,131.94,132.06,129.43,129.51,17621041,131.94,132.06,129.43,129.51,17621041,0.0,1.0,129.956,0.0
2023-08-08,131.84,131.94,130.13,130.98,16835952,131.84,131.94,130.13,130.98,16835952,0.0,1.0,129.946,0.0
2023-08-09,130.15,132.47,129.505,132.19,17745218,130.15,132.47,129.505,132.19,17745218,0.0,1.0,130.248,0.0
2023-08-10,130.21,132.647,130.035,131.97,17855681,130.21,132.647,130.035,131.97,17855681,0.0,1.0,130.536,0.0
2023-08-11,130.17,130.44,128.75,129.202,15205465,130.17,130.44,128.75,129.202,15205465,0.0,1.0,130.862,0.0
2023-08-14,131.83,131.91,129.59,129.85,17526195,131.83,131.91,129.59,129.85,17526195,0.0,1.0,130.83999999999997,0.0
2023-08-15,130.27,131.99,129.819,131.59,14769173,130.27,131.99,129.819,131.59,14769173,0.0,1.0,130.526,0.0
2023-08-16,129.11,130.8975,128.46,129.28,17548355,129.11,130.8975,128.46,129.28,17548355,0.0,1.0,130.31799999999998,0.0
2023-08-17,130.46,132.4913,129.85,130.45,23665562,130.46,132.4913,129.85,130.45,23665562,0.0,1.0,130.368,0.0
2023-08-18,128.11,129.83,127.0,129.06,23627202,128.11,129.83,127.0,129.06,23627202,0.0,1.0,129.95600000000002,129.6125
2023-08-21,128.93,129.26,127.16,127.85,21851070,128.93,129.26,127.16,127.85,21851070,0.0,1.0,129.37600000000003,129.96499999999997
2023-08-22,129.69,130.95,128.925,129.13,15569373,129.69,130.95,128.925,129.13,15569373,0.0,1.0,129.26000000000002,130.31
2023-08-23,133.21,134.07,130.51,130.85,26497027,133.21,134.07,130.51,130.85,26497027,0.0,1.0,130.08,130.4875
2023-08-24,130.42,134.97,130.3,134.7272,18680381,130.42,134.97,130.3,134.7272,18680381,0.0,1.0,130.072,130.51500000000001
2023-08-25,130.69,131.4,128.04,130.14,20678096,130.69,131.4,128.04,130.14,20678096,0.0,1.0,130.58800000000002,130.399
2023-08-28,131.79,133.24,130.85,132.08,16715467,131.79,133.24,130.85,132.08,16715467,0.0,1.0,131.16,130.333
2023-08-29,135.49,137.295,132.98,132.9981,30803265,135.49,137.295,132.98,132.9981,30803265,0.0,1.0,132.32,130.513
2023-08-30,136.93,137.25,135.021,135.57,21773356,136.93,137.25,135.021,135.57,21773356,0.0,1.0,133.064,130.9275
2023-08-31,137.35,138.4,136.82,137.05,28147850,137.35,138.4,136.82,137.05,28147850,0.0,1.0,134.45,131.3565
2023-09-01,136.8,138.58,135.94,138.43,16671647,136.8,138.58,135.94,138.43,16671647,0.0,1.0,135.672,131.76950000000002
2023-09-05,136.71,137.37,135.56,136.44,17730218,136.71,137.37,135.56,136.44,17730218,0.0,1.0,136.656,132.008
2023-09-06,135.37,137.48,134.69,137.015,15814327,135.37,137.48,134.69,137.015,15814327,0.0,1.0,136.632,132.1845
2023-09-07,136.2,136.58,133.9601,134.6,16975956,136.2,136.58,133.9601,134.6,16975956,0.0,1.0,136.486,132.487
2023-09-08,137.2,137.515,135.87,135.87,17820005,137.2,137.515,135.87,135.87,17820005,0.0,1.0,136.456,132.8365
2023-09-11,137.74,138.2638,136.55,137.38,17180755,137.74,138.2638,136.55,137.38,17180755,0.0,1.0,136.644,133.215
2023-09-12,136.07,137.64,135.93,137.13,15212934,136.07,137.64,135.93,137.13,15212934,0.0,1.0,136.516,133.427
2023-09-13,137.5,137.7,134.93,135.9,16394915,137.5,137.7,134.93,135.9,16394915,0.0,1.0,136.942,133.7885
2023-09-14,138.99,139.55,137.06,138.39,19064607,138.99,139.55,137.06,138.39,19064607,0.0,1.0,137.5,134.2825
2023-09-15,138.3,139.36,137.18,138.8,48958837,138.3,139.36,137.18,138.8,48958837,0.0,1.0,137.71999999999997,134.67450000000002
2023-09-18,138.96,139.93,137.63,137.63,16233590,138.96,139.93,137.63,137.63,16233590,0.0,1.0,137.964,135.217
2023-09-19,138.83,139.175,137.5,138.25,15484644,138.83,139.175,137.5,138.25,15484644,0.0,1.0,138.51600000000002,135.71200000000002
2023-09-20,134.59,138.84,134.52,138.83,21473533,134.59,138.84,134.52,138.83,21473533,0.0,1.0,137.93400000000003,135.95700000000002
