date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,5DaySMA,20DaySMA
2022-11-25,162.7,164.87,161.72,163.18,16793430,162.6024403537,164.7711391586,161.6230279902,163.0821525317,16793430,0.0,1.0,0.0,0.0
2022-11-28,158.27,163.57,157.25,160.26,30415201,158.1750967104,163.4719186764,157.155708332,160.1639034486,30415201,0.0,1.0,0.0,0.0
2022-11-29,156.39,159.32,155.2,158.27,29838449,156.296224013,159.2244670999,155.1069375716,158.1750967104,29838449,0.0,1.0,0.0,0.0
2022-11-30,169.23,169.3,155.97,156.97,56529822,169.1685007908,169.2384753524,155.9133195553,156.9129561492,56529822,0.04,1.0,0.0,0.0
2022-12-01,171.35,172.65,166.35,169.99,47097657,171.28773037,172.5872579421,166.2895474003,169.9282246022,47097657,0.0,1.0,163.588,0.0
2022-12-02,168.76,169.3257,164.45,166.59,37138858,168.6986715917,169.2641660129,164.3902378718,166.5294601829,37138858,0.0,1.0,164.8,0.0
2022-12-05,166.1,169.95,164.7201,166.79,35225517,166.0396382518,169.8882391385,164.6602397159,166.7293875016,35225517,0.0,1.0,166.36599999999999,0.0
2022-12-06,159.87,165.73,158.19,165.3,35269427,159.8119022716,165.6697727121,158.1325127938,165.2399289767,35269427,0.0,1.0,167.06199999999998,0.0
2022-12-07,161.2,161.86,156.67,157.72,37238758,161.1414189416,161.8011790936,156.6130651711,157.6626835947,37238758,0.0,1.0,165.456,0.0
2022-12-08,171.69,171.79,159.59,162.73,51545554,171.6276068119,171.7275704713,159.5320040253,162.6708629303,51545554,0.0,1.0,165.524,0.0
2022-12-09,170.01,175.83,169.75,171.6,46533819,169.9482173341,175.7661023108,169.6883118197,171.5376395184,46533819,0.0,1.0,165.774,0.0
2022-12-12,175.35,175.38,167.97,170.37,45732780,175.2862767457,175.3162658435,167.9089586825,170.3080865079,45732780,0.0,1.0,167.624,0.0
2022-12-13,180.72,187.9,177.11,185.31,65658876,180.6543252551,187.8317159995,177.045637151,185.2426572212,65658876,0.0,1.0,171.794,0.0
2022-12-14,176.74,182.52,174.2,179.87,49688810,176.6757716112,182.4536711242,174.1366946627,179.8046341502,49688810,0.0,1.0,174.902,0.0
2022-12-15,169.52,173.2,167.0,171.46,47854210,169.4583954031,173.1370580687,166.9393111864,171.3976903953,47854210,0.0,1.0,174.46800000000002,0.0
