date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,5DaySMA,20DaySMA
2023-07-24,118.07,118.54,116.73,117.94,6200393,118.07,118.54,116.73,117.94,6200393,0.0,1.0,0.0,0.0
2023-07-25,117.95,118.514,116.81,117.98,6266278,117.95,118.514,116.81,117.98,6266278,0.0,1.0,0.0,0.0
2023-07-26,115.5,117.62,115.0,117.42,8159988,115.5,117.62,115.0,117.42,8159988,0.0,1.0,0.0,0.0
2023-07-27,116.4,117.6,115.64,117.55,7843027,116.4,117.6,115.64,117.55,7843027,0.0,1.0,0.0,0.0
2023-07-28,115.99,117.3,115.65,116.68,6912012,115.99,117.3,115.65,116.68,6912012,0.0,1.0,116.782,0.0
2023-07-31,117.23,117.24,115.83,116.43,6708458,117.23,117.24,115.83,116.43,6708458,0.0,1.0,116.614,0.0
2023-08-01,117.91,118.04,116.475,116.92,5250652,117.91,118.04,116.475,116.92,5250652,0.0,1.0,116.606,0.0
2023-08-02,115.71,116.98,114.32,116.92,6387789,115.71,116.98,114.32,116.92,6387789,0.0,1.0,116.648,0.0
2023-08-03,114.55,116.17,114.26,115.24,5215848,114.55,116.17,114.26,115.24,5215848,0.0,1.0,116.27799999999999,0.0
2023-08-04,114.44,116.4,114.255,115.34,5579319,114.44,116.4,114.255,115.34,5579319,0.0,1.0,115.96799999999999,0.0
2023-08-07,116.1,116.38,115.07,115.47,7347041,116.1,116.38,115.07,115.47,7347041,0.0,1.0,115.742,0.0
2023-08-08,115.23,115.61,114.22,115.04,4694781,115.23,115.61,114.22,115.04,4694781,0.0,1.0,115.20599999999999,0.0
2023-08-09,113.1,115.71,112.33,115.34,6542427,113.1,115.71,112.33,115.34,6542427,0.0,1.0,114.684,0.0
2023-08-10,112.99,115.0948,112.48,113.78,6004125,112.99,115.0948,112.48,113.78,6004125,0.0,1.0,114.372,0.0
2023-08-11,113.06,113.48,111.13,112.39,5288879,113.06,113.48,111.13,112.39,5288879,0.0,1.0,114.096,0.0
2023-08-14,115.57,115.8062,113.15,113.18,6494216,115.57,115.8062,113.15,113.18,6494216,0.0,1.0,113.99000000000001,0.0
2023-08-15,117.29,118.059,114.84,115.45,10412160,117.29,118.059,114.84,115.45,10412160,0.0,1.0,114.402,0.0
2023-08-16,115.34,117.81,115.27,117.16,5721951,115.34,117.81,115.27,117.16,5721951,0.0,1.0,114.85,0.0
2023-08-17,114.88,116.78,114.36,115.74,6183897,114.88,116.78,114.36,115.74,6183897,0.0,1.0,115.228,0.0
2023-08-18,116.46,116.99,113.95,114.5,9412775,116.46,116.99,113.95,114.5,9412775,0.0,1.0,115.90799999999999,115.6885
2023-08-21,116.59,117.35,115.19,116.9,5811160,116.59,117.35,115.19,116.9,5811160,0.0,1.0,116.11200000000001,115.61449999999999
2023-08-22,116.54,117.68,115.73,117.51,4961062,116.54,117.68,115.73,117.51,4961062,0.0,1.0,115.96199999999999,115.54400000000001
2023-08-23,117.84,120.45,112.1098,117.1,16517285,117.84,120.45,112.1098,117.1,16517285,0.0,1.0,116.46199999999999,115.66099999999999
2023-08-24,112.91,119.73,112.41,119.68,11995894,112.91,119.73,112.41,119.68,11995894,0.0,1.0,116.06799999999998,115.4865
2023-08-25,116.06,116.148,112.74,112.91,8758141,116.06,116.148,112.74,112.91,8758141,0.0,1.0,115.98800000000001,115.49000000000001
2023-08-28,116.84,117.71,115.7,116.37,4514753,116.84,117.71,115.7,116.37,4514753,0.0,1.0,116.03800000000001,115.47050000000002
2023-08-29,120.65,121.2099,118.53,120.95,11920537,120.65,121.2099,118.53,120.95,11920537,0.0,1.0,116.85999999999999,115.60749999999999
2023-08-30,121.12,121.7363,120.15,120.72,5601778,121.12,121.7363,120.15,120.72,5601778,0.0,1.0,117.51599999999999,115.878
2023-08-31,120.39,121.98,120.12,121.0,9109806,120.39,121.98,120.12,121.0,9109806,0.0,1.0,119.01200000000001,116.17
2023-09-01,120.93,121.69,120.09,121.01,6190045,120.93,121.69,120.09,121.01,6190045,0.0,1.0,119.98600000000002,116.49449999999999
2023-09-05,123.98,124.28,121.18,122.44,11089638,123.98,124.28,121.18,122.44,11089638,0.0,1.0,121.41399999999999,116.8885
2023-09-06,124.33,124.58,122.73,123.06,8728483,124.33,124.58,122.73,123.06,8728483,0.0,1.0,122.15,117.34349999999999
2023-09-07,125.09,125.96,122.5944,123.83,11864401,125.09,125.96,122.5944,123.83,11864401,0.0,1.0,122.944,117.94300000000001
2023-09-08,126.32,126.69,124.3475,124.8,10612971,126.32,126.69,124.3475,124.8,10612971,0.0,1.0,124.13,118.6095
2023-09-11,126.71,127.415,124.72,127.02,22155564,126.71,127.415,124.72,127.02,22155564,0.0,1.0,125.28600000000002,119.292
2023-09-12,109.61,113.3,107.3,112.08,68605745,109.61,113.3,107.3,112.08,68605745,0.0,1.0,122.41199999999999,118.99399999999999
2023-09-13,111.84,112.94,108.2,108.32,27170953,111.84,112.94,108.2,108.32,27170953,0.0,1.0,119.91400000000002,118.72149999999999
2023-09-14,113.66,115.14,111.95,113.5,19849654,113.66,115.14,111.95,113.5,19849654,0.0,1.0,117.628,118.6375
2023-09-15,113.91,115.2,112.5,114.19,23215012,113.91,115.2,112.5,114.19,23215012,0.0,1.0,115.146,118.58900000000001
2023-09-18,112.21,114.465,111.58,113.42,11744057,112.21,114.465,111.58,113.42,11744057,0.0,1.0,112.24600000000001,118.37650000000001
2023-09-19,112.77,113.74,111.71,112.475,9536119,112.77,113.74,111.71,112.475,9536119,0.0,1.0,112.878,118.1855
2023-09-20,112.87,114.6953,112.46,112.81,8779955,112.87,114.6953,112.46,112.81,8779955,0.0,1.0,113.08399999999999,118.002
