date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,5DaySMA,20DaySMA
2022-11-25,75.14,76.0393,74.7495,75.67,26018911,75.14,76.0393,74.7495,75.67,26018911,0.0,1.0,0.0,0.0
2022-11-28,73.19,75.4699,72.57,73.81,45448323,73.19,75.4699,72.57,73.81,45448323,0.0,1.0,0.0,0.0
2022-11-29,73.39,74.4899,72.78,73.62,51846449,73.39,74.4899,72.78,73.62,51846449,0.0,1.0,0.0,0.0
2022-11-30,77.63,77.7,72.8131,73.38,88468439,77.63,77.7,72.8131,73.38,88468439,0.0,1.0,0.0,0.0
2022-12-01,77.48,79.23,76.44,78.31,59833354,77.48,79.23,76.44,78.31,59833354,0.0,1.0,75.366,0.0
2022-12-02,74.98,76.28,73.65,75.05,64377175,74.98,76.28,73.65,75.05,64377175,0.0,1.0,75.334,0.0
2022-12-05,73.62,75.17,72.82,74.54,47022185,73.62,75.17,72.82,74.54,47022185,0.0,1.0,75.42,0.0
2022-12-06,70.27,73.3911,69.4,73.08,64965235,70.27,73.3911,69.4,73.08,64965235,0.0,1.0,74.796,0.0
2022-12-07,70.14,71.37,69.28,69.53,59180109,70.14,71.37,69.28,69.53,59180109,0.0,1.0,73.298,0.0
2022-12-08,70.47,71.225,69.0,70.14,56734096,70.47,71.225,69.0,70.14,56734096,0.0,1.0,71.896,0.0
2022-12-09,68.59,70.67,68.52,69.49,59058319,68.59,70.67,68.52,69.49,59058319,0.0,1.0,70.61800000000001,0.0
2022-12-12,70.67,70.67,67.53,68.54,60968341,70.67,70.67,67.53,68.54,60968341,0.0,1.0,70.02799999999999,0.0
2022-12-13,71.65,75.21,70.66,74.87,72458043,71.65,75.21,70.66,74.87,72458043,0.0,1.0,70.304,0.0
2022-12-14,68.93,72.0,68.32,70.93,67277981,68.93,72.0,68.32,70.93,67277981,0.0,1.0,70.062,0.0
2022-12-15,66.53,68.21,66.12,67.604,58557045,66.53,68.21,66.12,67.604,58557045,0.0,1.0,69.274,0.0
2022-12-16,65.41,67.19,64.8,66.25,62438574,65.41,67.19,64.8,66.25,62438574,0.0,1.0,68.638,0.0
2022-12-19,64.59,65.59,63.71,65.12,46246911,64.59,65.59,63.71,65.12,46246911,0.0,1.0,67.422,0.0
2022-12-20,65.05,66.06,63.52,63.76,52431257,65.05,66.06,63.52,63.76,52431257,0.0,1.0,66.102,0.0
2022-12-21,67.68,67.845,65.21,65.43,44167575,67.68,67.845,65.21,65.43,44167575,0.0,1.0,65.852,0.0
2022-12-22,63.86,66.31,62.2601,66.08,73917667,63.86,66.31,62.2601,66.08,73917667,0.0,1.0,65.31800000000001,70.4635
2022-12-23,64.52,64.66,62.72,63.11,45923000,64.52,64.66,62.72,63.11,45923000,0.0,1.0,65.14,69.93249999999999
2022-12-27,63.27,64.28,62.97,63.87,36085981,63.27,64.28,62.97,63.87,36085981,0.0,1.0,64.876,69.4365
2022-12-28,62.57,63.54,61.96,62.54,39526483,62.57,63.54,61.96,62.54,39526483,0.0,1.0,64.38,68.8955
2022-12-29,64.82,65.18,63.06,63.635,41428481,64.82,65.18,63.06,63.635,41428481,0.0,1.0,63.80799999999999,68.25500000000001
2022-12-30,64.77,64.82,63.1437,63.77,37126975,64.77,64.82,63.1437,63.77,37126975,0.0,1.0,63.989999999999995,67.6195
2023-01-03,64.02,66.88,63.59,65.998,46851844,64.02,66.88,63.59,65.998,46851844,0.0,1.0,63.89,67.0715
2023-01-04,64.66,65.79,63.31,65.0,47477139,64.66,65.79,63.31,65.0,47477139,0.0,1.0,64.168,66.6235
2023-01-05,62.33,64.35,62.3,64.15,46159549,62.33,64.35,62.3,64.15,46159549,0.0,1.0,64.11999999999999,66.2265
2023-01-06,63.96,64.3,60.05,63.145,70161340,63.96,64.3,60.05,63.145,70161340,0.0,1.0,63.948,65.9175
2023-01-09,67.24,69.32,65.67,66.22,69741257,67.24,69.32,65.67,66.22,69741257,0.0,1.0,64.44200000000001,65.756
2023-01-10,68.05,68.15,66.56,66.67,41149630,68.05,68.15,66.56,66.67,41149630,0.0,1.0,65.248,65.729
2023-01-11,69.06,69.13,67.2201,68.39,44470060,69.06,69.13,67.2201,68.39,44470060,0.0,1.0,66.128,65.6485
2023-01-12,70.8,71.65,67.18,70.07,70066161,70.8,71.65,67.18,70.07,70066161,0.0,1.0,67.822,65.606
2023-01-13,71.0,71.1,69.23,69.84,45757358,71.0,71.1,69.23,69.84,45757358,0.0,1.0,69.22999999999999,65.70949999999999
2023-01-17,71.59,72.66,70.653,70.87,42621340,71.59,72.66,70.653,70.87,42621340,0.0,1.0,70.1,65.9625
2023-01-18,70.53,72.78,70.5,71.87,39538725,70.53,72.78,70.5,71.87,39538725,0.0,1.0,70.596,66.2185
2023-01-19,67.71,69.2536,67.265,68.975,47189852,67.71,69.2536,67.265,68.975,47189852,0.0,1.0,70.326,66.3745
2023-01-20,70.07,70.13,67.45,68.01,47757593,70.07,70.13,67.45,68.01,47757593,0.0,1.0,70.17999999999999,66.6255
2023-01-23,76.53,76.59,71.54,72.225,84293199,76.53,76.59,71.54,72.225,84293199,0.0,1.0,71.286,67.068
2023-01-24,74.7,75.6412,73.42,73.75,60822606,74.7,75.6412,73.42,73.75,60822606,0.0,1.0,71.908,67.61
2023-01-25,74.91,75.12,72.09,72.9,49932595,74.91,75.12,72.09,72.9,49932595,0.0,1.0,72.78399999999999,68.12950000000001
2023-01-26,75.16,77.0798,74.28,76.5,49583948,75.16,77.0798,74.28,76.5,49583948,0.0,1.0,74.274,68.724
2023-01-27,75.4,76.74,73.49,73.7,58118610,75.4,76.74,73.49,73.7,58118610,0.0,1.0,75.34,69.3655
2023-01-30,72.45,74.64,72.4,74.23,48105243,72.45,74.64,72.4,74.23,48105243,0.0,1.0,74.524,69.747
2023-01-31,75.15,75.2,72.03,72.26,71669107,75.15,75.2,72.03,72.26,71669107,0.0,1.0,74.614,70.26599999999999
2023-02-01,84.64,85.48,77.88,78.47,152548240,84.64,85.48,77.88,78.47,152548240,0.0,1.0,76.55999999999999,71.297
2023-02-02,88.31,88.9388,83.2,84.29,97762091,88.31,88.9388,83.2,84.29,97762091,0.0,1.0,79.19000000000001,72.4795
2023-02-03,86.09,88.8014,85.83,86.655,66557818,86.09,88.8014,85.83,86.655,66557818,0.0,1.0,81.328,73.66749999999999
2023-02-06,83.68,86.28,83.224,84.63,53008890,83.68,86.28,83.224,84.63,53008890,0.0,1.0,83.574,74.6535
2023-02-07,85.91,86.25,82.52,84.32,65291914,85.91,86.25,82.52,84.32,65291914,0.0,1.0,85.726,75.587
2023-02-08,84.69,88.0,84.54,85.88,54140448,84.69,88.0,84.54,85.88,54140448,0.0,1.0,85.73600000000002,76.41900000000001
2023-02-09,83.21,86.67,82.76,85.88,46525397,83.21,86.67,82.76,85.88,46525397,0.0,1.0,84.716,77.1265
2023-02-10,81.48,82.71,80.47,82.29,49332598,81.48,82.71,80.47,82.29,49332598,0.0,1.0,83.79400000000001,77.6605
2023-02-13,83.13,84.15,80.9,81.57,45400008,83.13,84.15,80.9,81.57,45400008,0.0,1.0,83.684,78.26700000000001
2023-02-14,85.95,86.185,81.7672,82.7,55979653,85.95,86.185,81.7672,82.7,55979653,0.0,1.0,83.69200000000001,78.985
2023-02-15,85.18,85.89,83.32,85.1,46483152,85.18,85.89,83.32,85.1,46483152,0.0,1.0,83.78999999999999,79.7175
2023-02-16,80.08,83.35,80.05,82.98,57755166,80.08,83.35,80.05,82.98,57755166,0.0,1.0,83.164,80.336
2023-02-17,78.5,79.6498,77.37,79.6,47826602,78.5,79.6498,77.37,79.6,47826602,0.0,1.0,82.56800000000001,80.75750000000001
2023-02-21,76.77,78.455,76.45,77.15,44045643,76.77,78.455,76.45,77.15,44045643,0.0,1.0,81.296,80.76950000000001
2023-02-22,76.61,78.1299,75.9201,76.93,50286804,76.61,78.1299,75.9201,76.93,50286804,0.0,1.0,79.428,80.865
2023-02-23,79.75,81.79,77.965,80.63,76391342,79.75,81.79,77.965,80.63,76391342,0.0,1.0,78.342,81.107
2023-02-24,78.09,78.81,76.94,77.75,46700007,78.09,78.81,76.94,77.75,46700007,0.0,1.0,77.944,81.2535
2023-02-27,78.77,80.12,78.53,79.64,45617297,78.77,80.12,78.53,79.64,45617297,0.0,1.0,77.998,81.422
2023-02-28,78.58,80.14,77.42,77.872,44220135,78.58,80.14,77.42,77.872,44220135,0.0,1.0,78.36,81.7285
2023-03-01,78.29,80.2869,77.8813,78.55,44265984,78.29,80.2869,77.8813,78.55,44265984,0.0,1.0,78.696,81.88550000000001
2023-03-02,80.44,80.92,76.65,77.57,60185875,80.44,80.92,76.65,77.57,60185875,0.0,1.0,78.834,81.6755
2023-03-03,81.52,81.63,79.34,80.4,54536217,81.52,81.63,79.34,80.4,54536217,0.0,1.0,79.52000000000001,81.336
2023-03-06,81.16,83.2986,81.04,82.03,54541281,81.16,83.2986,81.04,82.03,54541281,0.0,1.0,79.998,81.0895
2023-03-07,82.11,84.85,80.665,81.07,70959009,82.11,84.85,80.665,81.07,70959009,0.0,1.0,80.704,81.011
2023-03-08,85.37,85.77,82.28,82.79,69529838,85.37,85.77,82.28,82.79,69529838,0.0,1.0,82.11999999999999,80.984
2023-03-09,84.03,87.81,83.59,85.29,79496691,84.03,87.81,83.59,85.29,79496691,0.0,1.0,82.838,80.951
2023-03-10,82.67,85.45,81.63,84.47,70273562,82.67,85.45,81.63,84.47,70273562,0.0,1.0,83.06800000000001,80.924
2023-03-13,82.01,83.83,78.515,81.39,65269120,82.01,83.83,78.515,81.39,65269120,0.0,1.0,83.23800000000001,80.9505
2023-03-14,87.45,88.3,83.59,83.67,66616320,87.45,88.3,83.59,83.67,66616320,0.0,1.0,84.30600000000001,81.1665
