date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,5DaySMA,20DaySMA
2022-11-25,93.41,94.43,93.065,93.79,35088609,93.41,94.43,93.065,93.79,35088609,0.0,1.0,0.0,0.0
2022-11-28,93.95,96.4,93.43,93.93,75062316,93.95,96.4,93.43,93.93,75062316,0.0,1.0,0.0,0.0
2022-11-29,92.42,94.41,91.44,94.04,65567286,92.42,94.41,91.44,94.04,65567286,0.0,1.0,0.0,0.0
2022-11-30,96.54,96.54,91.525,92.47,102805806,96.54,96.54,91.525,92.47,102805806,0.0,1.0,0.0,0.0
2022-12-01,95.5,97.23,94.92,96.99,68487969,95.5,97.23,94.92,96.99,68487969,0.0,1.0,94.364,0.0
2022-12-02,94.13,95.36,93.78,94.475,72496388,94.13,95.36,93.78,94.475,72496388,0.0,1.0,94.508,0.0
2022-12-05,91.01,94.06,90.82,93.05,71535526,91.01,94.06,90.82,93.05,71535526,0.0,1.0,93.92,0.0
2022-12-06,88.25,91.04,87.9,90.5,75503628,88.25,91.04,87.9,90.5,75503628,0.0,1.0,93.08600000000001,0.0
2022-12-07,88.46,89.89,87.48,88.34,68086880,88.46,89.89,87.48,88.34,68086880,0.0,1.0,91.47,0.0
2022-12-08,90.35,90.86,87.88,89.24,73305887,90.35,90.86,87.88,89.24,73305887,0.0,1.0,90.44,0.0
2022-12-09,89.09,90.3,88.63,88.9,67398506,89.09,90.3,88.63,88.9,67398506,0.0,1.0,89.432,0.0
2022-12-12,90.55,90.58,87.87,89.21,61999762,90.55,90.58,87.87,89.21,61999762,0.0,1.0,89.33999999999999,0.0
2022-12-13,92.49,96.25,90.52,95.23,100212038,92.49,96.25,90.52,95.23,100212038,0.0,1.0,90.18799999999999,0.0
2022-12-14,91.58,93.4581,89.87,92.502,70298006,91.58,93.4581,89.87,92.502,70298006,0.0,1.0,90.81199999999998,0.0
2022-12-15,88.45,89.97,87.47,89.89,84802877,88.45,89.97,87.47,89.89,84802877,0.0,1.0,90.432,0.0
2022-12-16,87.86,89.35,86.73,88.265,146144064,87.86,89.35,86.73,88.265,146144064,0.0,1.0,90.18599999999999,0.0
2022-12-19,84.92,87.63,84.51,87.51,83531460,84.92,87.63,84.51,87.51,83531460,0.0,1.0,89.06,0.0
2022-12-20,85.19,86.61,84.33,85.33,74348301,85.19,86.61,84.33,85.33,74348301,0.0,1.0,87.6,0.0
2022-12-21,86.77,87.225,85.21,86.175,59267156,86.77,87.225,85.21,86.175,59267156,0.0,1.0,86.63799999999999,0.0
2022-12-22,83.79,85.68,82.25,85.52,81431314,83.79,85.68,82.25,85.52,81431314,0.0,1.0,85.70599999999999,90.2355
2022-12-23,85.25,85.78,82.9344,83.25,57433655,85.25,85.78,82.9344,83.25,57433655,0.0,1.0,85.184,89.8275
2022-12-27,83.04,85.35,83.0,84.97,57284035,83.04,85.35,83.0,84.97,57284035,0.0,1.0,84.808,89.28200000000001
2022-12-28,81.82,83.48,81.69,82.8,58228575,81.82,83.48,81.69,82.8,58228575,0.0,1.0,84.134,88.752
2022-12-29,84.18,84.55,82.55,82.87,54995895,84.18,84.55,82.55,82.87,54995895,0.0,1.0,83.616,88.134
2022-12-30,84.0,84.05,82.47,83.12,62401194,84.0,84.05,82.47,83.12,62401194,0.0,1.0,83.658,87.559
2023-01-03,85.82,86.96,84.205,85.46,76706040,85.82,86.96,84.205,85.46,76706040,0.0,1.0,83.772,87.14349999999999
2023-01-04,85.14,86.98,83.36,86.55,68885123,85.14,86.98,83.36,86.55,68885123,0.0,1.0,84.192,86.85
2023-01-05,83.12,85.42,83.07,85.33,67930825,83.12,85.42,83.07,85.33,67930825,0.0,1.0,84.452,86.59349999999999
2023-01-06,86.08,86.4,81.43,83.03,83303361,86.08,86.4,81.43,83.03,83303361,0.0,1.0,84.832,86.4745
2023-01-09,87.36,89.48,87.08,87.46,65266056,87.36,89.48,87.08,87.46,65266056,0.0,1.0,85.50399999999999,86.325
2023-01-10,89.87,90.185,87.29,87.57,67756601,89.87,90.185,87.29,87.57,67756601,0.0,1.0,86.314,86.364
2023-01-11,95.09,95.26,90.93,90.93,103126183,95.09,95.26,90.93,90.93,103126183,0.0,1.0,88.304,86.591
2023-01-12,95.27,97.19,93.5,96.93,85254781,95.27,97.19,93.5,96.93,85254781,0.0,1.0,90.73400000000001,86.72999999999999
2023-01-13,98.12,98.37,94.12,94.18,85549432,98.12,98.37,94.12,94.18,85549432,0.0,1.0,93.14200000000001,87.05699999999999
2023-01-17,96.05,98.89,95.73,98.68,72755001,96.05,98.89,95.73,98.68,72755001,0.0,1.0,94.88000000000001,87.437
2023-01-18,95.46,99.32,95.38,97.25,79570370,95.46,99.32,95.38,97.25,79570370,0.0,1.0,95.998,87.81700000000001
2023-01-19,93.68,95.44,92.86,94.74,69002663,93.68,95.44,92.86,94.74,69002663,0.0,1.0,95.716,88.255
2023-01-20,97.25,97.354,93.2025,93.86,67481539,97.25,97.354,93.2025,93.86,67481539,0.0,1.0,96.112,88.85799999999999
2023-01-23,97.52,97.78,95.86,97.56,76501103,97.52,97.78,95.86,97.56,76501103,0.0,1.0,95.99199999999999,89.3955
2023-01-24,96.32,98.09,96.0,96.93,66929452,96.32,98.09,96.0,96.93,66929452,0.0,1.0,96.04599999999999,90.022
2023-01-25,97.18,97.24,91.52,92.56,94261570,97.18,97.24,91.52,92.56,94261570,0.0,1.0,96.39,90.6185
2023-01-26,99.22,99.49,96.92,98.235,68523557,99.22,99.49,96.92,98.235,68523557,0.0,1.0,97.498,91.4275
2023-01-27,102.24,103.485,99.53,99.53,87775614,102.24,103.485,99.53,99.53,87775614,0.0,1.0,98.49600000000001,92.4485
2023-01-30,100.55,101.74,99.01,101.09,70691860,100.55,101.74,99.01,101.09,70691860,0.0,1.0,99.102,93.267
2023-01-31,103.13,103.3484,101.14,101.155,66527253,103.13,103.3484,101.14,101.155,66527253,0.0,1.0,100.464,94.2235
2023-02-01,105.15,106.24,101.24,102.53,80450121,105.15,106.24,101.24,102.53,80450121,0.0,1.0,102.058,95.19
2023-02-02,112.91,114.0,108.88,110.245,158154243,112.91,114.0,108.88,110.245,158154243,0.0,1.0,104.796,96.57849999999999
2023-02-03,103.39,108.78,102.52,105.26,144374828,103.39,108.78,102.52,105.26,144374828,0.0,1.0,105.026,97.59200000000001
2023-02-06,102.18,103.9484,100.65,102.925,81945199,102.18,103.9484,100.65,102.925,81945199,0.0,1.0,105.352,98.39699999999999
