date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,5DaySMA,20DaySMA
2022-11-25,529.91,534.58,529.48,530.69,745539,516.0684485839,520.6164655206,515.6496804292,516.8280745391,745539,0.0,1.0,0.0,0.0
2022-11-28,522.21,528.76,516.24,525.24,2351064,508.5695769754,514.9484872398,502.7555167802,511.5204316473,2351064,0.0,1.0,0.0,0.0
2022-11-29,521.39,525.85,514.83,523.0,1269585,507.770995843,512.1144980994,501.3823467843,509.3389417248,1269585,0.0,1.0,0.0,0.0
2022-11-30,551.03,551.66,517.83,524.11,4734939,536.6367821389,537.2503261796,504.3039850734,510.4199478918,4734939,0.0,1.0,0.0,0.0
2022-12-01,550.75,552.42,541.955,551.03,2300645,536.3640958986,537.9904745461,527.7988263145,536.6367821389,2300645,0.0,1.0,535.058,0.0
2022-12-02,540.8,542.7,536.08,537.05,1931953,526.6739955732,528.5243664896,522.0772846651,523.0219477119,1931953,0.0,1.0,537.2360000000001,0.0
2022-12-05,530.64,539.48,525.485,537.77,1854983,516.7793805676,525.388474726,511.7590321076,523.7231409013,1854983,0.0,1.0,538.922,0.0
2022-12-06,525.82,533.57,521.75,530.65,1965513,512.0852817165,519.6328472966,508.1215924377,516.7891193619,1965513,0.0,1.0,539.808,0.0
2022-12-07,518.5,524.9985,516.05,519.6,1652385,504.9564842912,511.285239765,502.5704796885,506.0277516639,1652385,0.0,1.0,533.302,0.0
2022-12-08,531.08,532.42,520.3848,520.81,2751431,517.2078875167,518.5128859524,506.7920522403,507.2061457738,2751431,0.0,1.0,529.368,0.0
2022-12-09,544.72,552.64,541.0,550.94,3702830,530.4916029376,538.2047280207,526.8687714591,536.5491329902,3702830,0.0,1.0,530.1519999999999,0.0
2022-12-12,556.63,556.87,542.24,544.75,2341842,542.0905069451,542.3242380082,528.0763819519,530.5208193205,2341842,0.0,1.0,535.35,0.0
2022-12-13,571.04,581.84,565.03,575.82,4041629,556.1241095268,566.6420073674,550.2710941544,560.7792532007,4041629,0.0,1.0,544.394,0.0
2022-12-14,574.44,585.65,567.73,568.55,3521831,559.4352995878,570.3524879945,552.9005686146,553.6991497469,3521831,0.0,1.0,555.5820000000001,0.0
2022-12-15,558.0,566.4876,557.7,563.78,3690333,543.4247217638,551.6906208112,543.1325579349,549.0537448673,3690333,0.0,1.0,560.966,0.0
2022-12-16,555.91,559.8,550.87,557.45,4954898,541.3893137557,545.1777047372,536.4809614301,542.8890880774,4954898,0.0,1.0,563.204,0.0
2022-12-19,549.63,556.48,545.72,554.02,2509318,539.7531963139,546.4801024048,535.9134586766,544.0643083926,2509318,4.6,1.0,561.804,0.0
2022-12-20,544.02,549.0,540.915,545.17,2983055,534.2440075299,539.1345173595,531.1948041121,535.3733421291,2983055,0.0,1.0,556.4,0.0
2022-12-21,561.23,561.91,546.95,547.67,2561912,551.1447453145,551.8125257732,537.1213556827,537.8284173448,2561912,0.0,1.0,553.758,0.0
2022-12-22,553.09,554.94,547.2,553.35,2755413,543.1510204123,544.9677760719,537.3668632042,543.4063482348,2755413,0.0,1.0,552.7760000000001,544.542
2022-12-23,552.43,553.6175,547.45,550.0,1376102,542.5028805554,543.6690412828,537.6123707258,540.1165474458,1376102,0.0,1.0,552.08,545.668
2022-12-27,553.54,558.105,546.94,551.55,1667704,543.5929339512,548.075901295,537.1115353818,541.6386940795,1667704,0.0,1.0,552.862,547.2344999999999
2022-12-28,544.89,557.77,542.45,551.64,1541156,535.098373705,547.7469212161,532.7022202945,541.7270767873,1541156,0.0,1.0,553.036,548.4095
2022-12-29,557.81,562.6,550.5006,551.85,1817606,547.7862024195,552.4901265327,540.608151707,541.9333031054,1817606,0.0,1.0,552.352,548.7484999999999
2022-12-30,559.13,559.65,548.01,551.82,1437725,549.0824821334,549.5931377782,538.1623075741,541.9038422028,1437725,0.0,1.0,553.56,549.1675
