date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,5DaySMA,20DaySMA
2022-11-25,97.6,98.94,97.53,98.465,8567819,97.6,98.94,97.53,98.465,8567819,0.0,1.0,0.0,0.0
2022-11-28,96.25,97.83,95.89,97.2,19981974,96.25,97.83,95.89,97.2,19981974,0.0,1.0,0.0,0.0
2022-11-29,95.44,96.3901,94.39,96.0,20220007,95.44,96.3901,94.39,96.0,20220007,0.0,1.0,0.0,0.0
2022-11-30,101.45,101.45,94.67,95.12,39888074,101.45,101.45,94.67,95.12,39888074,0.0,1.0,0.0,0.0
2022-12-01,101.28,102.59,100.67,101.4,21771536,101.28,102.59,100.67,101.4,21771536,0.0,1.0,98.404,0.0
2022-12-02,100.83,101.15,99.17,99.37,18821527,100.83,101.15,99.17,99.37,18821527,0.0,1.0,99.05,0.0
2022-12-05,99.87,101.7499,99.355,99.815,19955546,99.87,101.7499,99.355,99.815,19955546,0.0,1.0,99.774,0.0
2022-12-06,97.31,100.21,96.7604,99.67,20877623,97.31,100.21,96.7604,99.67,20877623,0.0,1.0,100.148,0.0
2022-12-07,95.15,97.31,95.025,96.77,26647877,95.15,97.31,95.025,96.77,26647877,0.0,1.0,98.888,0.0
2022-12-08,93.95,95.87,93.8,95.69,25593232,93.95,95.87,93.8,95.69,25593232,0.0,1.0,97.422,0.0
2022-12-09,93.07,94.49,93.02,93.9,21885308,93.07,94.49,93.02,93.9,21885308,0.0,1.0,95.86999999999999,0.0
2022-12-12,93.56,93.8745,91.9,93.09,27380948,93.56,93.8745,91.9,93.09,27380948,0.0,1.0,94.608,0.0
2022-12-13,95.85,99.8,95.38,98.07,34788522,95.85,99.8,95.38,98.07,34788522,0.0,1.0,94.316,0.0
2022-12-14,95.31,97.22,93.94,95.54,26452939,95.31,97.22,93.94,95.54,26452939,0.0,1.0,94.348,0.0
2022-12-15,91.2,94.03,90.43,93.54,28298756,91.2,94.03,90.43,93.54,28298756,0.0,1.0,93.798,0.0
2022-12-16,90.86,91.75,90.01,91.2,48485507,90.86,91.75,90.01,91.2,48485507,0.0,1.0,93.35600000000001,0.0
2022-12-19,89.15,91.2,88.925,90.88,23020537,89.15,91.2,88.925,90.88,23020537,0.0,1.0,92.474,0.0
