date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,5DaySMA,20DaySMA
2022-11-25,111.41,112.73,111.02,111.3,12007566,111.41,112.73,111.02,111.3,12007566,0.0,1.0,0.0,0.0
2022-11-28,108.78,112.04,108.38,110.78,23332816,108.78,112.04,108.38,110.78,23332816,0.0,1.0,0.0,0.0
2022-11-29,109.46,110.94,108.5437,109.54,23899238,109.46,110.94,108.5437,109.54,23899238,0.0,1.0,0.0,0.0
2022-11-30,118.1,118.16,109.38,109.505,43348557,118.1,118.16,109.38,109.505,43348557,0.0,1.0,0.0,0.0
2022-12-01,120.44,121.2,118.4,119.198,36551374,120.44,121.2,118.4,119.198,36551374,0.0,1.0,113.63799999999999,0.0
2022-12-02,123.49,124.04,117.61,117.83,39950464,123.49,124.04,117.61,117.83,39950464,0.0,1.0,116.054,0.0
2022-12-05,122.43,124.67,121.35,121.75,35474884,122.43,124.67,121.35,121.75,35474884,0.0,1.0,118.78399999999999,0.0
2022-12-06,114.12,120.55,113.74,119.91,43689183,114.12,120.55,113.74,119.91,43689183,0.0,1.0,119.71600000000001,0.0
2022-12-07,113.93,115.88,112.88,113.76,29461137,113.93,115.88,112.88,113.76,29461137,0.0,1.0,118.88199999999999,0.0
2022-12-08,115.33,117.34,114.59,116.39,30619418,115.33,117.34,114.59,116.39,30619418,0.0,1.0,117.85999999999999,0.0
2022-12-09,115.9,117.54,113.87,115.3,26033353,115.9,117.54,113.87,115.3,26033353,0.0,1.0,116.34200000000001,0.0
2022-12-12,114.71,115.72,113.14,115.18,24747064,114.71,115.72,113.14,115.18,24747064,0.0,1.0,114.798,0.0
2022-12-13,120.15,123.3,118.64,122.13,44701054,120.15,123.3,118.64,122.13,44701054,0.0,1.0,116.00399999999999,0.0
2022-12-14,121.59,124.14,119.39,119.39,36922037,121.59,124.14,119.39,119.39,36922037,0.0,1.0,117.53599999999999,0.0
2022-12-15,116.15,118.625,114.01,118.33,34530970,116.15,118.625,114.01,118.33,34530970,0.0,1.0,117.7,0.0
2022-12-16,119.43,123.31,118.8214,120.23,67064001,119.43,123.31,118.8214,120.23,67064001,0.0,1.0,118.40599999999999,0.0
2022-12-19,114.48,117.8,114.331,116.83,29769875,114.48,117.8,114.331,116.83,29769875,0.0,1.0,118.35999999999999,0.0
2022-12-20,117.09,117.33,112.46,113.26,28742501,117.09,117.33,112.46,113.26,28742501,0.0,1.0,117.748,0.0
2022-12-21,119.76,120.34,115.62,116.7,20392799,119.76,120.34,115.62,116.7,20392799,0.0,1.0,117.38199999999999,0.0
2022-12-22,117.12,118.62,114.38,117.2,23618121,117.12,118.62,114.38,117.2,23618121,0.0,1.0,117.576,116.6935
2022-12-23,118.04,118.175,115.535,116.03,17796625,118.04,118.175,115.535,116.03,17796625,0.0,1.0,117.298,117.025
2022-12-27,116.88,118.6,116.0501,117.93,21392311,116.88,118.6,116.0501,117.93,21392311,0.0,1.0,117.77799999999999,117.42999999999999
2022-12-28,115.62,118.15,115.51,116.25,19612473,115.62,118.15,115.51,116.25,19612473,0.0,1.0,117.48400000000001,117.73799999999999
2022-12-29,120.26,121.03,115.77,116.4,22366192,120.26,121.03,115.77,116.4,22366192,0.0,1.0,117.58400000000002,117.846
2022-12-30,120.34,120.42,117.74,118.16,19583825,120.34,120.42,117.74,118.16,19583825,0.0,1.0,118.22800000000002,117.84100000000001
2023-01-03,124.74,126.37,122.28,122.82,35528531,124.74,126.37,122.28,122.82,35528531,0.0,1.0,119.56800000000001,117.90350000000001
2023-01-04,127.37,129.0498,125.85,127.38,32397094,127.37,129.0498,125.85,127.38,32397094,0.0,1.0,121.66600000000001,118.1505
