date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,5DaySMA,20DaySMA
2022-11-25,247.49,248.7,246.73,247.31,9200772,245.8115339629,247.0133277974,245.0566882487,245.6327547148,9200772,0.0,1.0,0.0,0.0
2022-11-28,241.76,246.65,240.8,246.08,24810271,240.1203945649,244.9772308051,239.1669052417,244.4110965194,24810271,0.0,1.0,0.0,0.0
2022-11-29,240.33,242.79,238.21,241.4,17956313,238.7000927605,241.1434091513,236.5944705051,239.7628360687,17956313,0.0,1.0,0.0,0.0
2022-11-30,255.14,255.33,239.86,240.57,47594239,253.4096520073,253.5983634359,238.2332802794,238.9384650913,47594239,0.0,1.0,0.0,0.0
2022-12-01,254.69,256.12,250.9156,253.87,26041524,252.9627038871,254.3830056915,249.2139016979,252.1482650902,26041524,0.0,1.0,247.882,0.0
2022-12-02,255.02,256.06,249.69,249.82,21528520,253.2904658419,254.3234126088,247.996613662,248.1257320078,21528520,0.0,1.0,249.388,0.0
2022-12-05,250.2,253.819,248.06,252.01,23435294,248.5031548649,252.0976109699,246.3776682486,250.3008795264,23435294,0.0,1.0,251.07600000000002,0.0
2022-12-06,245.12,251.86,243.78,250.82,22463727,243.4576071962,250.1518968197,242.1266950159,249.1189500528,22463727,0.0,1.0,252.03400000000002,0.0
2022-12-07,244.37,246.16,242.205,244.83,20481522,242.7126936624,244.490553963,240.562376595,243.1695739631,20481522,0.0,1.0,249.88000000000002,0.0
2022-12-08,247.4,248.74,243.06,244.84,22611757,245.7221443388,247.0530565192,241.4115780234,243.1795061436,22611757,0.0,1.0,248.42200000000003,0.0
2022-12-09,245.42,248.31,244.16,244.695,20609743,243.7555726097,246.6259727598,242.504117873,243.0354895271,20609743,0.0,1.0,246.502,0.0
2022-12-12,252.51,252.54,247.17,247.445,30665069,250.7974885489,250.8272850903,245.4937041885,245.7668391509,30665069,0.0,1.0,246.964,0.0
2022-12-13,256.92,263.915,253.07,261.69,42196884,255.1775801275,262.1251403524,251.3536906541,259.9152302022,42196884,0.0,1.0,249.32399999999998,0.0
2022-12-14,257.22,262.588,254.31,257.13,35410933,255.475545541,260.8071400067,252.58528103,255.3861559169,35410933,0.0,1.0,251.894,0.0
2022-12-15,249.01,254.2,247.34,253.72,35568093,247.3212253913,252.476027045,245.6625512561,251.9992823834,35568093,0.0,1.0,252.21599999999998,0.0
2022-12-16,244.69,249.84,243.51,248.55,86101994,243.0305234368,248.1455963687,241.8585261437,246.8643450906,86101994,0.0,1.0,252.07,0.0
2022-12-19,240.45,245.21,238.71,244.86,29696436,238.8192789259,243.5469968202,237.0910795276,243.1993705045,29696436,0.0,1.0,249.658,0.0
