date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,5DaySMA,20DaySMA
2022-11-25,82.72,83.485,82.535,82.85,2754876,81.7799758263,82.5362824209,81.5970781531,81.9084985156,2754876,0.0,1.0,0.0,0.0
2022-11-28,81.39,82.14,81.07,82.11,5113103,80.4650898513,81.2065669049,80.1487263085,81.1769078227,5113103,0.0,1.0,0.0,0.0
2022-11-29,80.85,81.5,80.52,81.33,4928270,79.9312263728,80.5738398192,79.6049764692,80.405771687,4928270,0.0,1.0,0.0,0.0
2022-11-30,83.03,83.175,80.0,80.47,9610329,82.0864530084,82.2298052388,79.0908857121,79.5555446656,9610329,0.0,1.0,0.0,0.0
2022-12-01,84.11,84.53,82.35,83.05,6127308,83.1541799655,83.5694071155,81.4141804799,82.1062257298,6127308,0.0,1.0,82.42,0.0
2022-12-02,83.35,83.62,82.58,83.2,4798927,82.4028165513,82.6697482905,81.6415667763,82.2545211406,4798927,0.0,1.0,82.54599999999999,0.0
2022-12-05,79.43,82.42,79.41,82.41,9102943,78.5273631514,81.4833850049,78.5075904299,81.4734986442,9102943,0.0,1.0,82.154,0.0
2022-12-06,78.91,79.82,78.06,79.35,7656126,78.0132723942,78.9129312192,77.1729317336,78.4482722657,7656126,0.0,1.0,81.766,0.0
2022-12-07,78.78,79.445,78.58,78.67,5105512,77.884749705,78.5421926924,77.6870224907,77.7759997371,5105512,0.0,1.0,80.916,0.0
2022-12-08,80.07,80.21,78.53,79.13,5918748,79.1600902371,79.2984992871,77.6375906871,78.23077233,5918748,0.0,1.0,80.108,0.0
2022-12-09,79.86,80.36,79.54,79.65,6850806,78.9524766621,79.4467946978,78.6361131192,78.7448630871,6850806,0.0,1.0,79.41,0.0
2022-12-12,81.28,81.41,79.935,80.31,15807550,80.3563398835,80.4848625728,79.0266243674,79.3973628942,15807550,0.0,1.0,79.78,0.0
2022-12-13,80.56,85.58,79.7,84.94,22812160,79.6445219121,84.6074749905,78.7942948907,83.9747479048,22812160,0.0,1.0,80.11,0.0
2022-12-14,81.82,82.89,80.57,80.81,11183148,80.890203362,81.9480439584,79.6544082728,79.8916809299,11183148,0.0,1.0,80.71799999999999,0.0
2022-12-15,80.07,81.03,79.46,80.79,8198939,79.1600902371,80.1091808656,78.5570222335,79.8719082085,8198939,0.0,1.0,80.71799999999999,0.0
2022-12-16,79.58,80.46,79.48,79.96,19200747,78.6756585621,79.5456583049,78.5767949549,79.0513402692,19200747,0.0,1.0,80.66199999999999,0.0
2022-12-19,80.5,81.1,79.68,79.92,7738813,79.5852037478,80.1783853906,78.7745221692,79.0117948264,7738813,0.0,1.0,80.506,0.0
2022-12-20,80.94,81.49,80.35,80.5,6390180,80.0202036192,80.5639534585,79.4369083371,79.5852037478,6390180,0.0,1.0,80.582,0.0
2022-12-21,81.5,82.14,80.94,81.35,5932395,80.5738398192,81.2065669049,80.0202036192,80.4255444085,5932395,0.0,1.0,80.518,0.0
2022-12-22,80.49,81.17,79.43,80.94,8182431,79.5753173871,80.2475899156,78.5273631514,80.0202036192,8182431,0.0,1.0,80.602,80.962
2022-12-23,80.85,80.9,79.99,80.51,4129226,79.9312263728,79.9806581763,79.0809993514,79.5950901085,4129226,0.0,1.0,80.856,80.8685
2022-12-27,80.98,81.47,80.605,80.88,4290843,80.059749062,80.544180737,79.6890105353,79.9608854549,4290843,0.0,1.0,80.952,80.848
2022-12-28,80.33,81.6399,80.195,81.09,3794094,79.4171356156,80.7121500056,79.283669746,80.1684990299,3794094,0.0,1.0,80.83000000000001,80.82199999999999
2022-12-29,81.4,81.8,80.7,80.97,3867801,80.474976212,80.8704306406,79.7829309621,80.0498627013,3867801,0.0,1.0,80.80999999999999,80.7405
2022-12-30,81.74,81.93,80.76,81.13,5375702,80.8111124763,80.9989533299,79.8422491263,80.2080444728,5375702,0.0,1.0,81.06,80.622
2023-01-03,83.72,83.84,82.26,82.47,8997534,82.7686118977,82.8872482263,81.3252032334,81.5328168084,8997534,0.0,1.0,81.63399999999999,80.6405
2023-01-04,84.48,85.17,83.64,84.2,7836238,83.519975312,84.2021342012,82.689521012,83.243157212,7836238,0.0,1.0,82.33399999999999,80.893
2023-01-05,84.31,85.4,83.22,85.0,7643784,83.3519071798,84.4295204976,82.274293862,84.0340660691,7643784,0.0,1.0,83.13,81.163
2023-01-06,85.66,86.34,83.82,84.74,8641597,84.6865658762,85.3588384048,82.8674755048,83.7770206905,8641597,0.0,1.0,83.982,81.507
2023-01-09,86.42,87.59,86.16,86.84,7519836,85.7542928333,86.915280135,85.4962956552,86.1710575057,7519836,0.32,1.0,84.918,81.8245
2023-01-10,86.5,86.61,85.57,85.64,5703270,85.8336765804,85.9428292327,84.9108405201,84.9803012988,5703270,0.0,1.0,85.474,82.1565
2023-01-11,88.6,88.66,87.09,87.37,8359667,87.9174999425,87.9770377529,86.4191317155,86.6969748304,8359667,0.0,1.0,86.298,82.52250000000001
2023-01-12,88.78,89.195,88.17,88.7,6071099,88.0961133735,88.5079165618,87.4908123017,88.0167296264,6071099,0.0,1.0,87.19200000000001,82.93350000000001
2023-01-13,89.2,89.4662,87.66,87.95,5090938,88.512878046,88.7770274645,86.9847409138,87.2725069971,5090938,0.0,1.0,87.9,83.3025
2023-01-17,88.6,89.44,88.425,89.19,6550412,87.9174999425,88.7510292873,87.7438479957,88.5029550776,6550412,0.0,1.0,88.336,83.729
2023-01-18,86.71,88.63,86.6,88.6,6397707,86.0420589167,87.9472688477,85.9329062644,87.9174999425,6397707,0.0,1.0,88.378,84.0855
2023-01-19,85.94,86.99,85.255,86.4,5597039,85.2779903506,86.3199020316,84.5982670158,85.7344468965,5597039,0.0,1.0,87.846,84.3575
2023-01-20,87.25,87.38,85.495,86.03,5567493,86.5778992098,86.7068977988,84.8364182572,85.3672970661,5567493,0.0,1.0,87.54,84.673
2023-01-23,88.97,89.13,86.97,87.19,7390256,88.284649773,88.4434172672,86.3000560948,86.5183613994,7390256,0.0,1.0,87.494,85.0465
2023-01-24,89.7,90.095,88.0,89.05,7004581,89.0090264655,89.4009837169,87.3221218391,88.3640335201,7004581,0.0,1.0,87.714,85.50699999999999
2023-01-25,89.64,89.86,87.74,88.7,5896812,88.9494886552,89.1677939598,87.0641246609,88.0167296264,5896812,0.0,1.0,88.3,85.9465
2023-01-26,89.83,90.49,89.09,89.89,7302869,89.1380250546,89.7929409684,88.4037253937,89.1975628649,7302869,0.0,1.0,89.078,86.389
2023-01-27,88.99,89.72,88.96,89.5,5676836,88.3044957098,89.0288724023,88.2747268046,88.8105670977,5676836,0.0,1.0,89.426,86.822
2023-01-30,87.35,88.62,86.99,88.47,6255306,86.6771288937,87.9373458793,86.3199020316,87.7885013534,6255306,0.0,1.0,89.102,87.11949999999999
2023-01-31,88.46,88.48,87.35,87.69,6200413,87.778578385,87.7984243218,86.6771288937,87.014509819,6200413,0.0,1.0,88.854,87.4555
2023-02-01,90.05,90.645,88.21,88.37,6141252,89.3563303592,89.9467469784,87.5305041753,87.6892716695,6141252,0.0,1.0,88.936,87.772
2023-02-02,89.38,91.22,88.945,90.66,8269151,88.691491477,90.5173176609,88.259842352,89.961631431,8269151,0.0,1.0,88.84599999999999,88.017
2023-02-03,89.62,90.255,88.27,88.47,5671823,88.9296427184,89.5597512112,87.5900419856,87.7885013534,5671823,0.0,1.0,88.97200000000001,88.2825
2023-02-06,88.53,89.61,88.4,89.51,4097311,87.8480391638,88.91971975,87.7190405747,88.8204900661,4097311,0.0,1.0,89.208,88.426
2023-02-07,87.74,88.02,86.3,87.87,9226071,87.0641246609,87.3419677758,85.6352172126,87.19312325,9226071,0.0,1.0,89.064,88.492
2023-02-08,86.69,87.915,86.51,86.93,7624398,86.0222129799,87.2377766077,85.8435995488,86.2603642212,7624398,0.0,1.0,88.392,88.5015
2023-02-09,86.65,87.9,86.325,87.14,4960391,85.9825211063,87.2228921552,85.6600246336,86.4687465575,4960391,0.0,1.0,87.846,88.404
2023-02-10,87.14,87.38,86.335,86.53,5318403,86.4687465575,86.7068977988,85.669947602,85.8634454856,5318403,0.0,1.0,87.35,88.322
2023-02-13,89.42,89.45,87.2,87.28,5560902,88.7311833506,88.7609522557,86.5282843678,86.6076681149,5560902,0.0,1.0,87.528,88.333
2023-02-14,89.09,89.41,87.71,89.0,7484776,88.4037253937,88.7212603822,87.0343557557,88.3144186781,7484776,0.0,1.0,87.798,88.3575
2023-02-15,88.34,89.21,88.03,88.85,4330547,87.6595027644,88.5228010144,87.3518907442,88.1655741523,4330547,0.0,1.0,88.12800000000001,88.439
2023-02-16,87.72,88.27,87.0126,87.46,5942533,87.0442787241,87.5900419856,86.3423279402,86.786281546,5942533,0.0,1.0,88.342,88.52799999999999
2023-02-17,87.28,87.43,86.51,87.2,6398487,86.6076681149,86.7565126408,85.8435995488,86.5282843678,6398487,0.0,1.0,88.37,88.5295
2023-02-21,86.2,86.94,86.15,86.76,5260328,85.5359875287,86.2702871896,85.4863726868,86.0916737586,5260328,0.0,1.0,87.726,88.39099999999999
2023-02-22,86.32,87.18,85.98,86.68,5840102,85.6550631494,86.508438431,85.3176822241,86.0122900115,5840102,0.0,1.0,87.172,88.22200000000001
2023-02-23,88.58,89.48,87.06,87.15,8637135,87.8976540057,88.7907211609,86.3893628103,86.4786695258,8637135,0.0,1.0,87.22,88.169
2023-02-24,88.66,88.89,87.14,87.31,7659188,87.9770377529,88.2052660258,86.4687465575,86.6374370201,7659188,0.0,1.0,87.408,88.1105
2023-02-27,87.96,88.97,87.36,88.86,6748861,87.2824299655,88.284649773,86.6870518621,88.1754971207,6748861,0.0,1.0,87.544,88.059
2023-02-28,87.4,88.01,87.18,87.7,7468234,86.7267437356,87.3320448075,86.508438431,87.0244327873,7468234,0.0,1.0,87.78399999999999,88.0615
2023-03-01,86.34,87.21,85.99,86.9,5119757,85.6749090862,86.5382073362,85.3276051925,86.2305953161,5119757,0.0,1.0,87.788,87.9555
2023-03-02,86.97,87.28,85.87,86.06,5293599,86.3000560948,86.6076681149,85.2085295718,85.3970659712,5293599,0.0,1.0,87.46600000000001,87.8015
2023-03-03,89.25,89.29,87.08,87.32,5498531,88.5624928879,88.6021847615,86.4092087471,86.6473599885,5498531,0.0,1.0,87.58399999999999,87.795
2023-03-06,89.74,90.665,89.15,89.41,7424800,89.0487183391,89.9665929152,88.463263204,88.7212603822,7424800,0.0,1.0,87.94,87.80100000000002
2023-03-07,88.36,90.08,88.05,89.58,5382366,87.6793487011,89.3860992644,87.371736681,88.8899508448,5382366,0.0,1.0,88.13199999999999,87.79249999999999
2023-03-08,88.49,89.085,88.15,88.4,5159208,87.8083472902,88.3987639095,87.4709663649,87.7190405747,5159208,0.0,1.0,88.562,87.83
2023-03-09,86.87,89.64,86.53,88.33,10572293,86.2008264109,88.9494886552,85.8634454856,87.649579796,10572293,0.0,1.0,88.542,87.839
2023-03-10,84.07,85.25,82.88,84.41,16029345,83.4223952615,84.5933055316,82.241562023,83.7597761868,16029345,0.0,1.0,87.506,87.71000000000001
2023-03-13,84.93,85.53,82.04,83.32,10299942,84.2757705431,84.8711486465,81.4080326781,82.6781726322,10299942,0.0,1.0,86.54400000000001,87.59949999999999
2023-03-14,84.56,85.93,83.43,85.93,8732248,83.9086207126,85.2680673822,82.7873252845,85.2680673822,8732248,0.0,1.0,85.784,87.35650000000001
2023-03-15,82.98,83.37,82.12,83.08,11463010,82.3407917069,82.7277874741,81.4874164253,82.4400213908,11463010,0.0,1.0,84.68199999999999,87.051
2023-03-16,84.82,85.11,82.08,82.92,10149163,84.1666178908,84.4543839741,81.4477245517,82.2812538965,10149163,0.0,1.0,84.272,86.875
2023-03-17,85.26,85.98,84.61,85.0,13066028,84.6032285,85.3176822241,83.9582355546,84.3452313218,13066028,0.0,1.0,84.51,86.752
2023-03-20,86.96,87.51,85.25,85.28,9177289,86.2901331264,86.8358963879,84.5933055316,84.6230744368,9177289,0.0,1.0,84.916,86.736
2023-03-21,87.58,87.8482,86.66,87.49,6683731,86.9053571667,87.1714911789,85.9924440747,86.8160504511,6683731,0.0,1.0,85.52,86.80499999999999
2023-03-22,87.9,89.16,87.44,87.54,7233663,87.2228921552,88.4731861724,86.7664356092,86.8656652931,7233663,0.0,1.0,86.504,86.884
2023-03-23,87.78,89.64,87.64,88.65,10747139,87.1038165345,88.9494886552,86.964894977,87.9671147845,10747139,0.0,1.0,87.096,86.84400000000001
2023-03-24,88.01,88.48,87.51,87.98,5852248,87.3320448075,87.7984243218,86.8358963879,87.3022759023,5852248,0.0,1.0,87.646,86.8115
2023-03-27,90.14,90.5,88.545,88.62,8170050,89.4456370747,89.8028639368,87.8629236164,87.9373458793,8170050,0.0,1.0,88.28200000000001,86.92049999999999
2023-03-28,89.85,90.88,89.48,90.22,6378927,89.1578709914,90.1799367356,88.7907211609,89.5250208218,6378927,0.0,1.0,88.736,87.043
2023-03-29,90.62,90.66,89.81,90.13,5233647,89.9219395575,89.961631431,89.1181791178,89.4357141063,5233647,0.0,1.0,89.28,87.25699999999999
2023-03-30,90.51,91.18,89.71,90.85,5640690,89.8127869052,90.4776257873,89.0189494339,90.1501678304,5640690,0.0,1.0,89.826,87.434
2023-03-31,92.92,93.0,90.41,90.56,10476333,92.2042222873,92.2836060345,89.7135572212,89.8624017471,10476333,0.0,1.0,90.808,87.61749999999999
2023-04-03,93.92,94.0,92.09,92.38,8410872,93.1965191264,93.2759028735,91.3806159109,91.6683819942,8410872,0.0,1.0,91.564,87.8265
2023-04-04,94.0,94.02,92.93,93.85,6651475,93.2759028735,93.2957488103,92.2141452557,93.1270583477,6651475,0.0,1.0,92.394,88.1085
2023-04-05,94.89,95.108,93.48,93.62,7478750,94.1590470603,94.3753677712,92.7599085172,92.8988300747,7478750,0.0,1.0,93.248,88.4285
2023-04-06,95.92,96.08,93.99,94.33,9146244,95.1811128046,95.3398802988,93.2659799052,93.6033608304,9146244,0.0,1.0,94.33000000000001,88.881
2023-04-10,93.76,95.11,93.55,94.68,8681735,93.4346703678,94.7799861207,93.2253990285,94.3514781402,8681735,0.4,1.0,94.498,89.3655
2023-04-11,93.97,94.13,93.2,93.46,8196049,93.6439417071,93.8033865371,92.8766134629,93.1357113116,8196049,0.0,1.0,94.50800000000001,89.81750000000001
2023-04-12,93.9,95.32,93.595,94.38,8040306,93.574184594,94.9892574601,93.2702428869,94.052519084,8040306,0.0,1.0,94.488,90.28450000000001
2023-04-13,95.55,95.745,93.94,94.18,6240215,95.2184594032,95.4127827897,93.6140458015,93.8532130465,6240215,0.0,1.0,94.62,90.913
2023-04-14,95.71,95.99,94.68,95.5,6485060,95.3779042332,95.6569326856,94.3514781402,95.1686328938,6485060,0.0,1.0,94.578,91.45750000000001
2023-04-17,95.59,95.99,95.31,95.64,4771448,95.2583206107,95.6569326856,94.9792921582,95.3081471201,4771448,0.0,1.0,94.944,91.974
2023-04-18,96.47,96.7413,95.7749,96.0,7219366,96.1352671756,96.4056258154,95.4425790423,95.6668979875,7219366,0.0,1.0,95.44399999999999,92.4495
2023-04-19,95.81,96.47,95.59,95.59,4766371,95.4775572519,96.1352671756,95.2583206107,95.2583206107,4766371,0.0,1.0,95.826,92.861
2023-04-20,94.83,96.15,94.6,96.0,5815527,94.5009576683,95.8163775156,94.2717557252,95.6668979875,5815527,0.0,1.0,95.68199999999999,93.2075
2023-04-21,95.15,95.31,94.26,95.01,7335787,94.8198473282,94.9792921582,93.9329354615,94.680333102,7335787,0.0,1.0,95.57000000000001,93.576
2023-04-24,95.44,96.075,94.97,95.34,4901783,95.1088410826,95.7416377516,94.6404718945,95.0091880638,4901783,0.0,1.0,95.53999999999999,93.9475
2023-04-25,94.06,95.7,94.02,95.14,5768842,93.733629424,95.3679389313,93.6937682165,94.8098820264,5768842,0.0,1.0,95.058,94.1435
2023-04-26,93.71,94.81,93.34,93.75,6379588,93.3848438584,94.4810270645,93.0161276891,93.4247050659,6379588,0.0,1.0,94.638,94.3365
2023-04-27,95.04,95.09,93.2906,94.31,5615746,94.7102290076,94.760055517,92.9668990978,93.9827619709,5615746,0.0,1.0,94.68,94.5575
2023-04-28,94.72,95.4,94.24,94.27,8498551,94.3913393477,95.0689798751,93.9130048577,93.9429007634,8498551,0.0,1.0,94.59400000000001,94.768
2023-05-01,94.87,95.73,94.7,94.8,5459865,94.5408188758,95.3978348369,94.3714087439,94.4710617627,5459865,0.0,1.0,94.47999999999999,94.8655
2023-05-02,94.8,95.24,93.85,94.93,5995080,94.4710617627,94.9095350451,93.5243580847,94.600610687,5995080,0.0,1.0,94.628,94.90950000000001
2023-05-03,94.78,95.42,94.54,95.07,6744810,94.4511311589,95.0889104788,94.2119639139,94.7401249133,6744810,0.0,1.0,94.84200000000001,94.9485
2023-05-04,94.97,95.12,94.41,94.98,5038200,94.6404718945,94.7899514226,94.0824149896,94.6504371964,5038200,0.0,1.0,94.828,94.95250000000001
2023-05-05,96.97,97.31,94.83,95.0,8068571,96.6335322693,96.972352533,94.5009576683,94.6703678001,8068571,0.0,1.0,95.27799999999999,95.005
2023-05-08,96.79,97.28,96.44,97.08,5314753,96.4541568355,96.9424566273,96.10537127,96.7431505899,5314753,0.0,1.0,95.66199999999999,95.15650000000001
2023-05-09,96.14,96.89,96.1,96.2,6333498,95.8064122137,96.5538098543,95.7665510062,95.866204025,6333498,0.0,1.0,95.93,95.265
2023-05-10,97.52,97.675,96.256,96.79,5935280,97.1816238723,97.3360860514,95.9220097155,96.4541568355,5935280,0.0,1.0,96.478,95.446
2023-05-11,97.44,97.63,96.335,97.54,5144541,97.1019014573,97.2912421929,96.0007356003,97.2015544761,5144541,0.0,1.0,96.97200000000001,95.5405
2023-05-12,97.85,97.92,96.93,97.61,4994703,97.5104788341,97.5802359473,96.5936710618,97.2713115892,4994703,0.0,1.0,97.148,95.6475
2023-05-15,97.26,97.96,97.045,97.87,4443811,96.9225260236,97.6200971548,96.7082720333,97.5304094379,4443811,0.0,1.0,97.242,95.731
2023-05-16,98.25,98.845,96.92,97.17,6898204,97.9090909091,98.5020263706,96.5837057599,96.8328383067,6898204,0.0,1.0,97.664,95.82
2023-05-17,99.77,100.4,98.43,98.78,9436009,99.4238167939,100.0516308119,98.0884663428,98.4372519084,9436009,0.0,1.0,98.114,96.018
2023-05-18,102.34,102.46,99.73,99.77,10005725,101.9848993754,102.1044829979,99.3839555864,99.4238167939,10005725,0.0,1.0,99.09400000000001,96.3935
2023-05-19,102.84,103.07,101.92,102.39,8560257,102.4831644691,102.7123664122,101.5663566967,102.0347258848,8560257,0.0,1.0,100.092,96.77799999999999
2023-05-22,101.77,103.1,101.73,102.48,5890481,101.4168771686,102.7422623178,101.3770159611,102.1244136017,5890481,0.0,1.0,100.994,97.0945
2023-05-23,98.54,101.43,98.465,101.07,10047261,98.1980846634,101.0780569049,98.1233448994,100.7193060375,10047261,0.0,1.0,101.05199999999999,97.3185
2023-05-24,98.32,98.88,97.29,97.95,6815861,97.9788480222,98.5369049271,96.9524219292,97.6101318529,6815861,0.0,1.0,100.762,97.549
2023-05-25,104.29,104.66,98.77,99.2,16729608,103.9281332408,104.2968494101,98.4272866065,98.8557945871,16729608,0.0,1.0,101.15200000000002,98.0115
2023-05-26,104.08,106.23,104.03,104.35,13994064,103.7188619015,105.8614018043,103.6690353921,103.987925052,13994064,0.0,1.0,101.4,98.4795
2023-05-30,105.15,105.98,104.19,104.9,10296707,104.7851492019,105.6122692575,103.8284802221,104.5360166551,10296707,0.0,1.0,102.076,98.99350000000001
2023-05-31,105.94,106.49,104.15,104.47,13485104,105.57240805,106.120499653,103.7886190146,104.1075086745,13485104,0.0,1.0,103.556,99.5505
